[2025-04-26 15:34:29] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-26 15:34:29] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-26 15:34:29] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-26 15:34:29] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-26 15:34:29] Client IP: 127.0.0.1 | Method: GET | Requested: /favicon.ico | Status: 404
[2025-04-26 15:34:29] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-26 15:34:29] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-26 15:35:59] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-26 15:35:59] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-26 15:35:59] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-26 15:35:59] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200

[2025-04-26 15:36:04] Client IP: 127.0.0.1 | Method: GET | Requested: /developers.html | Status: 200
[2025-04-26 15:36:04] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-26 15:36:04] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-26 15:36:04] Client IP: 127.0.0.1 | Method: GET | Requested: /images/krrishna.png | Status: 200
[2025-04-26 15:36:04] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ashna.png | Status: 200
[2025-04-26 15:36:04] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ayesha.png | Status: 200
[2025-04-26 15:36:04] Client IP: 127.0.0.1 | Method: GET | Requested: /images//hero-bg.jpg | Status: 200
[2025-04-26 15:36:06] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-26 15:36:06] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-26 15:36:06] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-26 15:36:06] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-27 21:09:06] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-27 21:09:06] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-27 21:09:06] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-27 21:09:06] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-27 21:09:06] Client IP: 127.0.0.1 | Method: GET | Requested: /favicon.ico | Status: 404

[2025-04-27 21:09:13] Client IP: 127.0.0.1 | Method: GET | Requested: /developers.html | Status: 200
[2025-04-27 21:09:13] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-27 21:09:13] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-27 21:09:13] Client IP: 127.0.0.1 | Method: GET | Requested: /images/krrishna.png | Status: 200
[2025-04-27 21:09:13] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ashna.png | Status: 200
[2025-04-27 21:09:13] Client IP: 127.0.0.1 | Method: GET | Requested: /images/ayesha.png | Status: 200
[2025-04-27 21:09:13] Client IP: 127.0.0.1 | Method: GET | Requested: /images//hero-bg.jpg | Status: 200

[2025-04-27 21:09:42] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-27 21:09:42] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-27 21:09:42] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-27 21:09:42] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-28 01:19:06] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
[2025-04-28 01:19:06] Client IP: 127.0.0.1 | Method: GET | Requested: /style.css | Status: 200
[2025-04-28 01:19:06] Client IP: 127.0.0.1 | Method: GET | Requested: /images/github-logo.png | Status: 200
[2025-04-28 01:19:06] Client IP: 127.0.0.1 | Method: GET | Requested: /images/hero-bg.jpg | Status: 200
[2025-04-28 01:19:06] Client IP: 127.0.0.1 | Method: GET | Requested: /favicon.ico | Status: 404

[2025-04-28 01:19:18] Client IP: 127.0.0.1 | Method: GET | Requested: /static/pages/index.html | Status: 404

[2025-04-28 01:19:41] Client IP: 127.0.0.1 | Method: GET | Requested: /static/pages/testtt/index.html | Status: 404

[2025-04-28 01:19:46] Client IP: 127.0.0.1 | Method: GET | Requested: /static/pages/testtt/index.html | Status: 404
[2025-04-28 01:19:47] Client IP: 127.0.0.1 | Method: GET | Requested: /static/pages/testtt/index.html | Status: 404

[2025-04-28 01:20:11] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/testtt/index.html | Status: 200
[2025-04-28 01:20:11] Client IP: 127.0.0.1 | Method: GET | Requested: /pages/testtt/bg.jpg | Status: 200
[2025-04-28 09:11:10] Client IP: 127.0.0.1 | Method: GET | Requested: /index.html | Status: 200
